CL01ZSAP101 00001122006FA001600100X 00000025642,0000000025757,0000000025757,0000000025757,0000000025757,0000000026017,0000000026017,0000000026017,0000000026017,0000000026277,0000000026277,0000000026277,00
CL01ZSAP101 00001122006FA001600400X 00000000857,0000000000862,0000000000862,0000000000862,0000000000862,0000000000871,0000000000871,0000000000871,0000000000871,0000000000879,0000000000879,0000000000879,00
CL01ZSAP101 00001122006FA001600410X 00000000171,0000000000109,0000000000178,0000000000199,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,00
CL01ZSAP101 00001122006FA001600480X 00000000000,0000000000393,0000000000000,0000000000000,0000000000000,0000000000138,0000000000000,0000000000000,0000000000000,0000000000140,0000000000000,0000000000000,00
CL01ZSAP101 00001122006FA001600530X 00000000496,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,00
CL01ZSAP101 00001122006FA001600540X 00000000103,0000000000104,0000000000104,0000000000104,0000000000104,0000000000104,0000000000104,0000000000104,0000000000104,0000000000105,0000000000105,0000000000105,00
CL01ZSAP101 00001122006FA001600550X 00000000229,0000000000230,0000000000230,0000000000230,0000000000230,0000000000232,0000000000232,0000000000232,0000000000232,0000000000233,0000000000233,0000000000233,00
CL01ZSAP101 00001122006FA001600570X 00000000119,0000000000119,0000000000119,0000000000119,0000000000119,0000000000119,0000000000119,0000000000119,0000000000119,0000000000119,0000000000119,0000000000119,00
CL01ZSAP101 00001122006FA001600575X 00000000054,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,00
CL01ZSAP101 00001122006FA001600580X 00000000075,0000000000075,0000000000075,0000000000075,0000000000075,0000000000075,0000000000075,0000000000075,0000000000075,0000000000075,0000000000075,0000000000075,00
CL01ZSAP101 00001122006FA001600590X 00000000163,0000000000163,0000000000163,0000000000163,0000000000163,0000000000163,0000000000163,0000000000163,0000000000163,0000000000163,0000000000163,0000000000163,00
CL01ZSAP101 00001122006FA001600600X 00000000154,0000000000155,0000000000155,0000000000155,0000000000155,0000000000156,0000000000156,0000000000156,0000000000156,0000000000157,0000000000157,0000000000157,00
CL01ZSAP101 00001122006FA001600605X 00000000691,0000000000694,0000000000694,0000000000694,0000000000694,0000000000701,0000000000701,0000000000701,0000000000701,0000000000709,0000000000709,0000000000709,00
CL01ZSAP101 00001122006FA001600610X 00000000029,0000000000029,0000000000029,0000000000029,0000000000029,0000000000029,0000000000029,0000000000029,0000000000029,0000000000029,0000000000029,0000000000029,00
CL01ZSAP101 00001122006FA001600620X 00000000290,0000000000208,0000000000231,0000000000216,0000000000199,0000000000202,0000000000199,0000000000192,0000000000258,0000000000241,0000000000215,0000000000252,00
CL01ZSAP101 00001122006FA001600640X 00000000002,0000000000001,0000000000001,0000000000001,0000000000001,0000000000001,0000000000001,0000000000001,0000000000001,0000000000001,0000000000001,0000000000002,00
CL01ZSAP101 00001122006FA001602040X 00000000154,0000000000268,0000000000010,0000000000010,0000000000010,0000000000010,0000000000113,0000000000010,0000000000010,0000000000010,0000000000113,0000000000112,00
CL01ZSAP101 00001122006FA001602070X 00000000155,0000000000051,0000000000051,0000000000051,0000000000051,0000000000051,0000000000051,0000000000051,0000000000051,0000000000051,0000000000051,0000000000051,00
CL01ZSAP101 00001122006FA001602100X 00000000102,0000000000102,0000000000102,0000000000102,0000000000102,0000000000102,0000000000102,0000000000102,0000000000102,0000000000102,0000000000102,0000000000102,00
CL01ZSAP101 00001122006FA001604530X 00000000050,0000000000050,0000000000050,0000000000050,0000000000050,0000000000050,0000000000050,0000000000050,0000000000050,0000000000050,0000000000050,0000000000050,00
CL01ZSAP101 00001122006FA001606210X 00000001083,0000000001191,0000000001083,0000000003359,0000000001083,0000000001083,0000000001191,0000000001083,0000000001083,0000000003251,0000000001083,0000000001083,00
CL01ZSAP101 00001122006FA001606330X 00000001187,0000000001187,0000000001187,0000000001187,0000000001187,0000000001187,0000000001187,0000000001187,0000000001187,0000000001187,0000000001187,0000000001187,00
CL01ZSAP101 00001122006FA001606500X 00000001602,0000000001602,0000000001602,0000000001602,0000000001602,0000000001602,0000000001602,0000000001602,0000000001602,0000000001602,0000000001602,0000000001602,00
CL01ZSAP101 00001122006FA001607100X 00000001084,0000000000650,0000000000650,0000000000650,0000000000650,0000000000650,0000000000650,0000000000650,0000000001084,0000000000650,0000000000650,0000000001626,00
CL01ZSAP101 00001122006FA001607400X 00000000216,0000000000216,0000000000216,0000000000216,0000000000216,0000000000216,0000000000216,0000000000216,0000000000216,0000000000216,0000000000216,0000000000216,00
CL01ZSAP101 00001122006FA001607450X 00000000216,0000000000216,0000000000216,0000000000216,0000000000216,0000000000216,0000000000216,0000000000216,0000000000216,0000000000216,0000000000216,0000000000216,00
CL01ZSAP101 00001122006FA001607460X 00000001084,0000000001084,0000000001084,0000000001084,0000000001084,0000000001084,0000000001084,0000000001084,0000000001084,0000000001084,0000000001084,0000000001084,00
CL01ZSAP101 00001122006FA001607470X 00000000000,0000000000542,0000000000000,0000000000000,0000000000542,0000000000000,0000000000000,0000000000000,0000000000542,0000000000000,0000000000000,0000000000000,00
CL01ZSAP101 00001122006FA001607471X 00000000000,0000000000000,0000000000000,0000000002168,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000002168,0000000000000,0000000000000,00
CL01ZSAP101 00001122006FA001607480X 00000001951,0000000001951,0000000001951,0000000001951,0000000001951,0000000001951,0000000001951,0000000001951,0000000001951,0000000001951,0000000001951,0000000001951,00
CL01ZSAP101 00001122006FA001620020X 00000005193,0000000005193,0000000005193,0000000005193,0000000005192,0000000005192,0000000005192,0000000005192,0000000005192,0000000005192,0000000005192,0000000005192,00
CL01ZSAP101 00001122006FA001626650X 00000000300,0000000000300,0000000000300,0000000000300,0000000000300,0000000000300,0000000000300,0000000000300,0000000000300,0000000000300,0000000000300,0000000000300,00
CL01ZSAP101 00001122006FA130600100X 00000001899,0000000001907,0000000001907,0000000001907,0000000001907,0000000001926,0000000001926,0000000001926,0000000001926,0000000001946,0000000001946,0000000001946,00
CL01ZSAP101 00001122006FA130600120X 00000000609,0000000000611,0000000000611,0000000000611,0000000000611,0000000000618,0000000000618,0000000000618,0000000000618,0000000000624,0000000000624,0000000000624,00
CL01ZSAP101 00001122006FA130600150X 00000000204,0000000000205,0000000000205,0000000000205,0000000000205,0000000000207,0000000000207,0000000000207,0000000000207,0000000000209,0000000000209,0000000000209,00
CL01ZSAP101 00001122006FA130600160X 00000000196,0000000000197,0000000000197,0000000000197,0000000000197,0000000000199,0000000000199,0000000000199,0000000000199,0000000000201,0000000000201,0000000000201,00
CL01ZSAP101 00001122006FA130600190X 00000001323,0000000001328,0000000001963,0000000001328,0000000001328,0000000001341,0000000001341,0000000001341,0000000001341,0000000001356,0000000001356,0000000001356,00
CL01ZSAP101 00001122006FA130600200X 00000000000,0000000000000,0000000000000,0000000000811,0000000001218,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,00
CL01ZSAP101 00001122006FA130600210X 00000000124,0000000000124,0000000000124,0000000000124,0000000000124,0000000000125,0000000000125,0000000000125,0000000000125,0000000000127,0000000000127,0000000000127,00
CL01ZSAP101 00001122006FA130600230X 00000000395,0000000000397,0000000000397,0000000000397,0000000000397,0000000000401,0000000000401,0000000000401,0000000000401,0000000000405,0000000000405,0000000000405,00
CL01ZSAP101 00001122006FA130600235X 00000000035,0000000000035,0000000000035,0000000000035,0000000000035,0000000000037,0000000000037,0000000000037,0000000000037,0000000000037,0000000000037,0000000000037,00
CL01ZSAP101 00001122006FA130600240X 00000000039,0000000000039,0000000000039,0000000000039,0000000000039,0000000000039,0000000000039,0000000000039,0000000000039,0000000000040,0000000000040,0000000000040,00
CL01ZSAP101 00001122006FA130600605X 00000000053,0000000000053,0000000000053,0000000000053,0000000000053,0000000000053,0000000000053,0000000000053,0000000000053,0000000000054,0000000000054,0000000000054,00
CL01ZSAP101 00001122006FA130602070X 00000000051,0000000000051,0000000000051,0000000000051,0000000000051,0000000000051,0000000000051,0000000000051,0000000000051,0000000000051,0000000000051,0000000000051,00
CL01ZSAP101 00001122006FA130606210X 00000000542,0000000000542,0000000000542,0000000000542,0000000000542,0000000000542,0000000000542,0000000000542,0000000000542,0000000000542,0000000000542,0000000000542,00
CL01ZSAP101 00001122006FA130606330X 00000013550,0000000013550,0000000013550,0000000013550,0000000013550,0000000013550,0000000013550,0000000013550,0000000013550,0000000013550,0000000013550,0000000013550,00
CL01ZSAP101 00001122006FA130606500X 00000002222,0000000002222,0000000003848,0000000002222,0000000002222,0000000003848,0000000002222,0000000002222,0000000003848,0000000002222,0000000002222,0000000002222,00
CL01ZSAP101 00001122006FA130607100X 00000000216,0000000000216,0000000000216,0000000000216,0000000000216,0000000000216,0000000000216,0000000000216,0000000001842,0000000000216,0000000000216,0000000001842,00
CL01ZSAP101 00001122006FA130607460X 00000003609,0000000003609,0000000005235,0000000003609,0000000003609,0000000005235,0000000003609,0000000003609,0000000005235,0000000003609,0000000003609,0000000005235,00
CL01ZSAP101 00001122006FA130607480X 00000000325,0000000000325,0000000000325,0000000000325,0000000000325,0000000000325,0000000000325,0000000000325,0000000000325,0000000000325,0000000000325,0000000000325,00
CL01ZSAP101 00001122006FA130620020X 00000000004,0000000000003,0000000000003,0000000000003,0000000000003,0000000000003,0000000000003,0000000000003,0000000000003,0000000000003,0000000000003,0000000000003,00
CL01ZSAP101 00001122006FA210600100X 00000002061,0000000002070,0000000002070,0000000002070,0000000002070,0000000002091,0000000002091,0000000002091,0000000002091,0000000002112,0000000002112,0000000002112,00
CL01ZSAP101 00001122006FA210600120X 00000000581,0000000000584,0000000000584,0000000000584,0000000000584,0000000000590,0000000000590,0000000000590,0000000000590,0000000000596,0000000000596,0000000000596,00
CL01ZSAP101 00001122006FA210600140X 00000000608,0000000000610,0000000000610,0000000000610,0000000000610,0000000000616,0000000000616,0000000000616,0000000000616,0000000000623,0000000000623,0000000000623,00
CL01ZSAP101 00001122006FA210600150X 00000000221,0000000000222,0000000000222,0000000000222,0000000000222,0000000000225,0000000000225,0000000000225,0000000000225,0000000000227,0000000000227,0000000000227,00
CL01ZSAP101 00001122006FA210600160X 00000000196,0000000000197,0000000000197,0000000000197,0000000000197,0000000000199,0000000000199,0000000000199,0000000000199,0000000000201,0000000000201,0000000000201,00
CL01ZSAP101 00001122006FA210600170X 00000000464,0000000000468,0000000000468,0000000000468,0000000000468,0000000000478,0000000000478,0000000000478,0000000000478,0000000000487,0000000000487,0000000000487,00
CL01ZSAP101 00001122006FA210600190X 00000000872,0000000000875,0000000001510,0000000000875,0000000000875,0000000000884,0000000000884,0000000000884,0000000000884,0000000000894,0000000000894,0000000000894,00
CL01ZSAP101 00001122006FA210600200X 00000000000,0000000000000,0000000000000,0000000000811,0000000001218,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,00
CL01ZSAP101 00001122006FA210600210X 00000000124,0000000000124,0000000000124,0000000000124,0000000000124,0000000000125,0000000000125,0000000000125,0000000000125,0000000000127,0000000000127,0000000000127,00
CL01ZSAP101 00001122006FA210600230X 00000000425,0000000000427,0000000000427,0000000000427,0000000000427,0000000000431,0000000000431,0000000000431,0000000000431,0000000000435,0000000000435,0000000000435,00
CL01ZSAP101 00001122006FA210600235X 00000000087,0000000000088,0000000000088,0000000000088,0000000000088,0000000000090,0000000000090,0000000000090,0000000000090,0000000000091,0000000000091,0000000000091,00
CL01ZSAP101 00001122006FA210600240X 00000000039,0000000000039,0000000000039,0000000000039,0000000000039,0000000000039,0000000000039,0000000000039,0000000000039,0000000000040,0000000000040,0000000000040,00
CL01ZSAP101 00001122006FA210600400X 00000002141,0000000002150,0000000002150,0000000002150,0000000002150,0000000002171,0000000002171,0000000002171,0000000002171,0000000002194,0000000002194,0000000002194,00
CL01ZSAP101 00001122006FA210600410X 00000000000,0000000000000,0000000000000,0000000000000,0000000000086,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,00
CL01ZSAP101 00001122006FA210600460X 00000000470,0000000000472,0000000000472,0000000000472,0000000000472,0000000000477,0000000000477,0000000000477,0000000000477,0000000000481,0000000000481,0000000000481,00
CL01ZSAP101 00001122006FA210600480X 00000000000,0000000000785,0000000000000,0000000000000,0000000000000,0000000000277,0000000000000,0000000000000,0000000000000,0000000000280,0000000000000,0000000000000,00
CL01ZSAP101 00001122006FA210600490X 00000000097,0000000000097,0000000000097,0000000000097,0000000000097,0000000000098,0000000000098,0000000000098,0000000000098,0000000000099,0000000000099,0000000000099,00
CL01ZSAP101 00001122006FA210600530X 00000000992,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,00
CL01ZSAP101 00001122006FA210600540X 00000000206,0000000000207,0000000000207,0000000000207,0000000000207,0000000000209,0000000000209,0000000000209,0000000000209,0000000000211,0000000000211,0000000000211,00
CL01ZSAP101 00001122006FA210600550X 00000000721,0000000000723,0000000001059,0000000001059,0000000001059,0000000001064,0000000001064,0000000001064,0000000001064,0000000000735,0000000000735,0000000000735,00
CL01ZSAP101 00001122006FA210600570X 00000000297,0000000000297,0000000000297,0000000000297,0000000000297,0000000000297,0000000000297,0000000000297,0000000000297,0000000000297,0000000000297,0000000000297,00
CL01ZSAP101 00001122006FA210600575X 00000000111,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,00
CL01ZSAP101 00001122006FA210600580X 00000000150,0000000000150,0000000000150,0000000000150,0000000000150,0000000000150,0000000000150,0000000000150,0000000000150,0000000000150,0000000000150,0000000000150,00
CL01ZSAP101 00001122006FA210600590X 00000000327,0000000000327,0000000000327,0000000000327,0000000000327,0000000000327,0000000000327,0000000000327,0000000000327,0000000000327,0000000000327,0000000000327,00
CL01ZSAP101 00001122006FA210600600X 00000000416,0000000000418,0000000000418,0000000000418,0000000000419,0000000000423,0000000000423,0000000000423,0000000000423,0000000000427,0000000000427,0000000000427,00
CL01ZSAP101 00001122006FA210600605X 00000000127,0000000000128,0000000000128,0000000000128,0000000000128,0000000000129,0000000000129,0000000000129,0000000000129,0000000000131,0000000000131,0000000000131,00
CL01ZSAP101 00001122006FA210600610X 00000000064,0000000000064,0000000000064,0000000000064,0000000000064,0000000000064,0000000000064,0000000000064,0000000000064,0000000000064,0000000000064,0000000000064,00
CL01ZSAP101 00001122006FA210600620X 00000000580,0000000000417,0000000000463,0000000000431,0000000000398,0000000000404,0000000000398,0000000000384,0000000000517,0000000000484,0000000000428,0000000000505,00
CL01ZSAP101 00001122006FA210600640X 00000000004,0000000000002,0000000000003,0000000000002,0000000000003,0000000000003,0000000000002,0000000000003,0000000000003,0000000000003,0000000000003,0000000000003,00
CL01ZSAP101 00001122006FA210602040X 00000000180,0000000000027,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000025,0000000000025,0000000000000,0000000000000,00
CL01ZSAP101 00001122006FA210602070X 00000000025,0000000000025,0000000000025,0000000000025,0000000000025,0000000000025,0000000000025,0000000000025,0000000000025,0000000000025,0000000000025,0000000000025,00
CL01ZSAP101 00001122006FA210602100X 00000000031,0000000000051,0000000000031,0000000000051,0000000000031,0000000000051,0000000000031,0000000000051,0000000000031,0000000000051,0000000000031,0000000000051,00
CL01ZSAP101 00001122006FA210606210X 00000000053,0000000000053,0000000000595,0000000000053,0000000000053,0000000000053,0000000000595,0000000000053,0000000000053,0000000000053,0000000000595,0000000000053,00
CL01ZSAP101 00001122006FA210606500X 00000002059,0000000002059,0000000007479,0000000002059,0000000009647,0000000002059,0000000002059,0000000002059,0000000004769,0000000002059,0000000005853,0000000002059,00
CL01ZSAP101 00001122006FA210607470X 00000000021,0000000000021,0000000000021,0000000000021,0000000000021,0000000000021,0000000000021,0000000000021,0000000000021,0000000000021,0000000000021,0000000000021,00
CL01ZSAP101 00001122006FA210620020X 00000000010,0000000000010,0000000000010,0000000000010,0000000000010,0000000000009,0000000000009,0000000000009,0000000000009,0000000000009,0000000000009,0000000000009,00
CL01ZSAP101 00001122006FA210626650X 00000000200,0000000000200,0000000000200,0000000000200,0000000000200,0000000000200,0000000000200,0000000000200,0000000000200,0000000000200,0000000000200,0000000000200,00
CL01ZSAP101 00001122006FA360600100X 00000001899,0000000001907,0000000001907,0000000001907,0000000001907,0000000001926,0000000001926,0000000001926,0000000001926,0000000001946,0000000001946,0000000001946,00
CL01ZSAP101 00001122006FA360600120X 00000000493,0000000000495,0000000000495,0000000000495,0000000000495,0000000000500,0000000000500,0000000000500,0000000000500,0000000000505,0000000000505,0000000000505,00
CL01ZSAP101 00001122006FA360600140X 00000000535,0000000000538,0000000000538,0000000000538,0000000000538,0000000000543,0000000000543,0000000000543,0000000000543,0000000000548,0000000000548,0000000000548,00
CL01ZSAP101 00001122006FA360600150X 00000000204,0000000000205,0000000000205,0000000000205,0000000000205,0000000000207,0000000000207,0000000000207,0000000000207,0000000000209,0000000000209,0000000000209,00
CL01ZSAP101 00001122006FA360600160X 00000000196,0000000000197,0000000000197,0000000000197,0000000000197,0000000000199,0000000000199,0000000000199,0000000000199,0000000000201,0000000000201,0000000000201,00
CL01ZSAP101 00001122006FA360600190X 00000002977,0000000002981,0000000003616,0000000002981,0000000002981,0000000002988,0000000002988,0000000002988,0000000002988,0000000002997,0000000002997,0000000002997,00
CL01ZSAP101 00001122006FA360600200X 00000000000,0000000000000,0000000000000,0000000000811,0000000001218,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,00
CL01ZSAP101 00001122006FA360600210X 00000000124,0000000000124,0000000000124,0000000000124,0000000000124,0000000000125,0000000000125,0000000000125,0000000000125,0000000000127,0000000000127,0000000000127,00
CL01ZSAP101 00001122006FA360600230X 00000000379,0000000000381,0000000000381,0000000000381,0000000000381,0000000000384,0000000000384,0000000000384,0000000000384,0000000000388,0000000000388,0000000000388,00
CL01ZSAP101 00001122006FA360600235X 00000000410,0000000000413,0000000000413,0000000000413,0000000000413,0000000000422,0000000000422,0000000000422,0000000000422,0000000000429,0000000000429,0000000000429,00
CL01ZSAP101 00001122006FA360600240X 00000000041,0000000000041,0000000000041,0000000000041,0000000000041,0000000000041,0000000000041,0000000000041,0000000000041,0000000000042,0000000000042,0000000000042,00
CL01ZSAP101 00001122006FA360600400X 00000005427,0000000005451,0000000005451,0000000005451,0000000005451,0000000005506,0000000005506,0000000005506,0000000005506,0000000005562,0000000005562,0000000005562,00
CL01ZSAP101 00001122006FA360600410X 00000001105,0000000000862,0000000000869,0000000000829,0000000000578,0000000001008,0000000001234,0000000000553,0000000000921,0000000001204,0000000000913,0000000000631,00
CL01ZSAP101 00001122006FA360600460X 00000001105,0000000001111,0000000001111,0000000001111,0000000001111,0000000001122,0000000001122,0000000001122,0000000001122,0000000001133,0000000001133,0000000001133,00
CL01ZSAP101 00001122006FA360600480X 00000000000,0000000002749,0000000000000,0000000000000,0000000000000,0000000000972,0000000000000,0000000000000,0000000000000,0000000000981,0000000000000,0000000000000,00
CL01ZSAP101 00001122006FA360600490X 00000000150,0000000000151,0000000000151,0000000000151,0000000000151,0000000000152,0000000000152,0000000000152,0000000000152,0000000000154,0000000000154,0000000000154,00
CL01ZSAP101 00001122006FA360600520X 00000000000,0000000000000,0000000002299,0000000002437,0000000000000,0000000000000,0000000000000,0000000000000,0000000000773,0000000000000,0000000000000,0000000000000,00
CL01ZSAP101 00001122006FA360600530X 00000003471,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,00
CL01ZSAP101 00001122006FA360600540X 00000000722,0000000000725,0000000000725,0000000000725,0000000000725,0000000000732,0000000000732,0000000000732,0000000000732,0000000000740,0000000000740,0000000000740,00
CL01ZSAP101 00001122006FA360600550X 00000005207,0000000005217,0000000005217,0000000005217,0000000005217,0000000005232,0000000005232,0000000005232,0000000005232,0000000005249,0000000005249,0000000005249,00
CL01ZSAP101 00001122006FA360600560X 00000000807,0000000000812,0000000000812,0000000000812,0000000000812,0000000000819,0000000000819,0000000000819,0000000000819,0000000000827,0000000000827,0000000000827,00
CL01ZSAP101 00001122006FA360600570X 00000000754,0000000000754,0000000000754,0000000000754,0000000000754,0000000000754,0000000000754,0000000000754,0000000000754,0000000000754,0000000000754,0000000000754,00
CL01ZSAP101 00001122006FA360600575X 00000000389,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,00
CL01ZSAP101 00001122006FA360600580X 00000000528,0000000000528,0000000000528,0000000000528,0000000000528,0000000000528,0000000000528,0000000000528,0000000000528,0000000000528,0000000000528,0000000000528,00
CL01ZSAP101 00001122006FA360600590X 00000001144,0000000001144,0000000001144,0000000001144,0000000001144,0000000001144,0000000001144,0000000001144,0000000001144,0000000001144,0000000001144,0000000001144,00
CL01ZSAP101 00001122006FA360600600X 00000001185,0000000001190,0000000001190,0000000001190,0000000001191,0000000001202,0000000001202,0000000001202,0000000001202,0000000001214,0000000001214,0000000001214,00
CL01ZSAP101 00001122006FA360600605X 00000000600,0000000000603,0000000000603,0000000000603,0000000000603,0000000000609,0000000000609,0000000000609,0000000000609,0000000000616,0000000000616,0000000000616,00
CL01ZSAP101 00001122006FA360600610X 00000000185,0000000000185,0000000000185,0000000000185,0000000000185,0000000000185,0000000000185,0000000000185,0000000000185,0000000000185,0000000000185,0000000000185,00
CL01ZSAP101 00001122006FA360600611X 00000000002,0000000000002,0000000000002,0000000000002,0000000000002,0000000000002,0000000000002,0000000000002,0000000000002,0000000000002,0000000000002,0000000000002,00
CL01ZSAP101 00001122006FA360600620X 00000002030,0000000001461,0000000001621,0000000001511,0000000001396,0000000001415,0000000001394,0000000001346,0000000001811,0000000001695,0000000001502,0000000001767,00
CL01ZSAP101 00001122006FA360600640X 00000000017,0000000000010,0000000000010,0000000000008,0000000000010,0000000000010,0000000000005,0000000000010,0000000000010,0000000000010,0000000000010,0000000000013,00
CL01ZSAP101 00001122006FA360602040X 00000000980,0000000000980,0000000000980,0000000000980,0000000000980,0000000000980,0000000000980,0000000000980,0000000000980,0000000000980,0000000000980,0000000000980,00
