CL01ZSAP101 00001122006 1000600200X 00000000000,0000000000000,0000000000000,0000000002190,0300000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,00
CL01ZSAP101 00001122006 1000600400X 00000005710,1600000005924,2900000005665,6800000005773,9000000067103,0800000052457,1800000044849,7700000046297,3400000048761,4300000049735,5400000049735,5400000050750,51
CL01ZSAP101 00001122006 1000600410X 00000000159,0800000000174,3000000000085,0000000000016,9500000000336,1900000000158,0200000000078,4600000000262,3600000000115,260000000-280,5000000000280,5000000000251,32
CL01ZSAP101 00001122006 1000600460X 00000002983,4300000003094,3300000002959,2500000003015,7800000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,00
CL01ZSAP101 00001122006 1000600480X 00000000000,0000000000000,0000000000016,5900000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,00
CL01ZSAP101 00001122006 1000600530X 00000000401,1300000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000165,5000000000057,5800000000058,1400000000059,8900000000059,8900000000060,55
CL01ZSAP101 00001122006 1000600540X 00000000549,3200000000544,8600000000542,5400000000561,4300000000093,7400000000101,0300000000095,6700000000189,9100000000202,1400000000206,0900000000206,0900000000346,39
CL01ZSAP101 00001122006 1000600550X 00000001524,4500000001626,8700000001633,9700000001699,4300000000200,6800000002856,5600000003082,5500000005138,2100000007035,3900000006520,6300000006520,6300000007193,28
CL01ZSAP101 00001122006 1000600570X 00000000746,8500000001070,9400000000741,0500000000755,2100000000103,4700000000105,3800000000107,8700000000111,1700000000227,7300000000238,3700000000238,3700000000244,80
CL01ZSAP101 00001122006 1000600575X 00000000046,0400000000047,7500000000045,6700000000046,5400000000033,1900000000033,2300000000034,0200000000035,0600000000071,8100000000073,4600000000073,4600000000075,43
CL01ZSAP101 00001122006 1000600580X 00000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000303,4200000000100,5500000000284,7500000000129,7700000000129,7700000000131,16
CL01ZSAP101 00001122006 1000600590X 00000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000,0000000001297,2100000001297,2100000001311,36
CL01ZSAP101 00001122006 1000600600X 00000001165,6000000001211,5800000001166,4600000001192,0300000000135,7400000000136,2900000000138,8300000000143,4300000000302,3000000000314,5400000000314,5400000000338,84
CL01ZSAP101 00001122006 1000600605X 00000000870,2700010731365,3900000000917,9500000002006,2500000000107,6800000000107,1800000000108,2900000000114,1800000000251,3900000000516,7100000000516,7100000000-48,32
