CL01ZSAP101 00001122005FA001600200X           0,00          0,00          0,00       2190,03          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA001600400X        5710,16       5924,29       5665,68       5773,90      67103,08      52457,18      44849,77      46297,34      48761,43      49735,54      49735,54      50750,51
CL01ZSAP101 00001122005FA001600410X         159,08        174,30         85,00         16,95        336,19        158,02         78,46        262,36        115,26       -280,50        280,50        251,32
CL01ZSAP101 00001122005FA001600460X        2983,43       3094,33       2959,25       3015,78          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA001600480X           0,00          0,00         16,59          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA001600530X         401,13          0,00          0,00          0,00          0,00          0,00        165,50         57,58         58,14         59,89         59,89         60,55
CL01ZSAP101 00001122005FA001600540X         549,32        544,86        542,54        561,43         93,74        101,03         95,67        189,91        202,14        206,09        206,09        346,39
CL01ZSAP101 00001122005FA001600550X        1524,45       1626,87       1633,97       1699,43        200,68       2856,56       3082,55       5138,21       7035,39       6520,63       6520,63       7193,28
CL01ZSAP101 00001122005FA001600570X         746,85       1070,94        741,05        755,21        103,47        105,38        107,87        111,17        227,73        238,37        238,37        244,80
CL01ZSAP101 00001122005FA001600575X          46,04         47,75         45,67         46,54         33,19         33,23         34,02         35,06         71,81         73,46         73,46         75,43
CL01ZSAP101 00001122005FA001600580X           0,00          0,00          0,00          0,00          0,00          0,00        303,42        100,55        284,75        129,77        129,77        131,16
CL01ZSAP101 00001122005FA001600590X           0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00       1297,21       1297,21       1311,36
CL01ZSAP101 00001122005FA001600600X        1165,60       1211,58       1166,46       1192,03        135,74        136,29        138,83        143,43        302,30        314,54        314,54        338,84
CL01ZSAP101 00001122005FA001600605X         870,27   10731365,39        917,95       2006,25        107,68        107,18        108,29        114,18        251,39        516,71        516,71        -48,32
CL01ZSAP101 00001122005FA001600610X          37,30         33,31         31,02         30,40         14,18         12,37         11,73         14,13         35,57         28,14         28,14         40,11
CL01ZSAP101 00001122005FA001600620X         262,54        205,83        184,99        169,66        229,97        200,63        190,19        229,07        576,91        456,33        456,33        625,96
CL01ZSAP101 00001122005FA001601590X        2543,31       3136,65          0,00       3422,49        386,70       1177,35        905,20        354,25       3079,15       1105,77       1105,77       2726,54
CL01ZSAP101 00001122005FA001602040X           0,00          0,00          0,00         34,96        309,22          0,00        363,97          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA001602070X          49,81        457,15        656,71        235,47        224,85        154,23        539,29        278,00        227,65         33,45         33,45          4,42
CL01ZSAP101 00001122005FA001602080X           0,00          0,00          0,00          0,00        343,96         79,82         58,18          0,00         56,64          0,00          0,00          0,00
CL01ZSAP101 00001122005FA001602100X         278,24        218,44        129,22        307,51      16237,28        306,46       7578,32       6237,77       1315,52       -323,80        323,80       3030,83
CL01ZSAP101 00001122005FA001604510X           0,00          0,00          0,00          0,00          0,00         30,59          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA001604530X         104,50         39,85        195,73        124,57          0,00        276,41        141,98          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA001604550X           0,00          0,00          0,00          0,00          0,00         37,73          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA001606000X        3874,94        329,32         62,62       3515,26          0,00         60,91       1346,47        229,06        303,26        -67,90         67,90       4244,63
CL01ZSAP101 00001122005FA001606020X        3558,83          0,00       1730,88        220,63          0,00          0,00          0,00          0,00          0,00          0,00          0,00      -5382,62
CL01ZSAP101 00001122005FA001606040X           0,00          0,00          0,00        775,49          0,00          0,00          0,00          0,00          0,00          0,00          0,00          0,00
CL01ZSAP101 00001122005FA001606110X        1044,75       1074,44       1039,02       1043,50       1050,59       1052,91       1081,84       1118,40       1142,14       1174,56       1174,56          1,45
CL01ZSAP101 00001122005FA001606120X         270,62        266,24        261,84        282,37          0,00        110,35        280,30        114,70       1194,09       -315,00        315,00         16,28
CL01ZSAP101 00001122005FA001606210X          28,80          0,00         70,57         72,93         16,53          0,00        158,94          0,00        190,63        615,07        615,07       1183,39
